date,session_id,device,coupon_applied,cart_step,address_step,payment_step,order_confirmed
2026-08-21,100126,Web,False,1521,1278,1052,948
2026-08-22,100127,Android,True,1792,1499,1126,1053
2026-08-22,100128,Android,False,5124,4344,3854,3662
2026-08-22,100129,iOS,True,1130,914,769,694
2026-08-22,100130,iOS,False,3487,2918,2626,2520
2026-08-22,100131,Web,True,619,516,462,439
2026-08-22,100132,Web,False,1661,1347,1118,1070
2026-08-23,100133,Android,True,1876,1493,1049,966
2026-08-23,100134,Android,False,4844,4006,3451,3265
2026-08-23,100135,iOS,True,1142,958,827,772
2026-08-23,100136,iOS,False,3494,2824,2345,2114
2026-08-23,100137,Web,True,643,529,463,422
2026-08-23,100138,Web,False,1622,1266,1073,1003
2026-08-24,100139,Android,True,1438,1165,856,796
2026-08-24,100140,Android,False,4438,3584,3117,2966
2026-08-24,100141,iOS,True,991,783,700,650
2026-08-24,100142,iOS,False,2474,2009,1804,1676
2026-08-24,100143,Web,True,473,389,326,294
2026-08-24,100144,Web,False,1296,1022,850,772
2026-08-25,100145,Android,True,1511,1197,793,736
2026-08-25,100146,Android,False,4340,3437,2871,2590
2026-08-25,100147,iOS,True,849,678,565,511
2026-08-25,100148,iOS,False,2402,1951,1632,1504
2026-08-25,100149,Web,True,489,405,333,315
2026-08-25,100150,Web,False,1435,1127,1002,957
2026-08-26,100151,Android,True,1340,1071,757,689
2026-08-26,100152,Android,False,3955,3187,2736,2563
2026-08-26,100153,iOS,True,885,718,631,569
2026-08-26,100154,iOS,False,2471,2050,1827,1700
2026-08-26,100155,Web,True,492,387,331,308
2026-08-26,100156,Web,False,1327,1060,901,811
2026-08-27,100157,Android,True,1417,1126,788,751
2026-08-27,100158,Android,False,4278,3540,3126,2906
2026-08-27,100159,iOS,True,834,681,590,557
2026-08-27,100160,iOS,False,2564,2022,1703,1569
2026-08-27,100161,Web,True,503,412,349,334
2026-08-27,100162,Web,False,1429,1138,942,856
2026-08-28,100163,Android,True,1395,1103,750,682
2026-08-28,100164,Android,False,4533,3561,3069,2837
2026-08-28,100165,iOS,True,997,785,668,640
2026-08-28,100166,iOS,False,2790,2335,1962,1785
2026-08-28,100167,Web,True,506,427,369,344
2026-08-28,100168,Web,False,1338,1115,930,855
2026-08-29,100169,Android,True,1809,1475,1023,958
2026-08-29,100170,Android,False,5028,4126,3434,3189
2026-08-29,100171,iOS,True,1144,896,758,688
2026-08-29,100172,iOS,False,2966,2519,2130,2020
2026-08-29,100173,Web,True,582,481,423,395
2026-08-29,100174,Web,False,1740,1407,1193,1140
2026-08-30,100175,Android,True,1958,1659,1083,1035
2026-08-30,100176,Android,False,4915,3856,3390,3167
2026-08-30,100177,iOS,True,1215,959,847,772
2026-08-30,100178,iOS,False,3031,2399,2123,1995
2026-08-30,100179,Web,True,615,495,440,406
2026-08-30,100180,Web,False,1860,1507,1281,1188
